dataset,instance_id,true_label,experiment,repeat,trace_idx,use_memory,diagnosis,parse_success,rationale,evidence_json,grounded_rate,contradiction_rate,unsupported_rate,invalid_feature_claims,verifiable_claims,endpoint,input_tokens,output_tokens,latency_s,cost_usd,success
nasa_fd001,u001_e0050,healthy,main_full,0,0,True,healthy,True,"The positive s21_delta_mean and s12_delta_mean align with healthy reference trends. Positive s7_slope also supports normal operation. Negative s3_slope is within normal variability, indicating no significant degradation.","[{""feature"": ""s21_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s12_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s7_slope"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s3_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,194,4.906929271999616,0.0007236,True
nasa_fd001,u001_e0050,healthy,main_full,0,1,True,healthy,True,"Key sensor deltas s21 and s12 are strongly positive, matching healthy training patterns. Negative s2_delta_mean is typical and not severe. Positive s7_delta_mean supports stable operation. No evidence indicates degradation.","[{""feature"": ""s21_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s12_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s2_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s7_delta_mean"", ""direction"": ""positive"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,195,3.8648369140000796,0.0007252000000000001,True
nasa_fd001,u001_e0050,healthy,main_full,0,2,True,healthy,True,"Key features like s21_delta_mean and s21_slope show strong positive deviations consistent with healthy references, indicating stable engine operation without degradation.","[{""feature"": ""s21_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s21_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s12_delta_mean"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s7_slope"", ""direction"": ""positive"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,180,3.073423606000688,0.0007012000000000001,True
nasa_fd001,u001_e0050,healthy,main_full,0,3,True,degraded,True,"Significant negative slopes and delta means in sensors 3 and 8 indicate degradation trends, while negative z_last in s14 suggests abnormal behavior. Positive s21_delta_mean is elevated but combined sensor trends indicate the system is degraded rather than healthy.","[{""feature"": ""s3_slope"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s8_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s21_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}]",1.0,0.0,0.0,0,4,responses,1033,201,4.373680615999547,0.0007348000000000001,True
nasa_fd001,u001_e0050,healthy,main_full,0,4,True,healthy,True,"Positive s21_delta_mean and s12_delta_mean match healthy training patterns. Positive s7_slope supports normal operation. Negative s3_slope is typical variability, not indicating degradation. Overall sensor profile aligns with healthy baseline signatures.","[{""feature"": ""s21_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s12_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s7_slope"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s3_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,198,4.334190827000384,0.0007300000000000001,True
nasa_fd001,u001_e0080,healthy,main_full,0,0,True,healthy,True,"Key sensors s4_z_last and s17_delta_mean show strong negative standardized values typical of healthy training references. s11_z_last positive but consistent with healthy patterns. Overall sensor profile aligns with healthy operational baseline, indicating no degradation.","[{""feature"": ""s4_z_last"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s11_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s17_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,3,responses,1033,170,3.056145091999497,0.0006852000000000002,True
nasa_fd001,u001_e0080,healthy,main_full,0,1,True,healthy,True,"Key degradation indicators (s4_z_last, s3_delta_mean, s15_delta_mean, s17_delta_mean) are consistently negative and align with healthy training references, indicating stable engine health without signs of degradation.","[{""feature"": ""s4_z_last"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s3_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s15_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s17_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,195,2.596666586000538,0.0007252000000000001,True
nasa_fd001,u001_e0080,healthy,main_full,0,2,True,healthy,True,Strong negative s4_z_last and s17_delta_mean align with healthy training references. Positive s11_z_last and s20_delta_mean further support healthy state. No features indicate degradation beyond training norms.,"[{""feature"": ""s4_z_last"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s17_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s11_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s20_delta_mean"", ""direction"": ""positive"", ""importance"": ""low""}]",1.0,0.0,0.0,0,4,responses,1033,192,4.138479056000506,0.0007204000000000002,True
nasa_fd001,u001_e0080,healthy,main_full,0,3,True,degraded,True,Strong negative deviations in s4_z_last and s17_delta_mean indicate sensor drift linked to degradation. Additional negative trends in s9_z_last and s15_slope support declining engine health compared to healthy references.,"[{""feature"": ""s4_z_last"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s17_delta_mean"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s9_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s15_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,194,3.92377049300012,0.0007236,True
nasa_fd001,u001_e0080,healthy,main_full,0,4,True,healthy,True,"Key sensor features (s4_z_last strongly negative, s11_z_last positive, s17_delta_mean negative) align closely with healthy training references, indicating stable engine state without signs of degradation.","[{""feature"": ""s4_z_last"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s11_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s17_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,3,responses,1033,163,2.490495426999587,0.0006740000000000001,True
nasa_fd001,u001_e0100,healthy,main_full,0,0,True,healthy,True,"Key sensor values s7_z_last, s4_z_last, and s21_z_last are strongly positive, consistent with healthy references. Negative s15_slope is moderate and aligns with training data. Overall, sensor patterns indicate normal engine health without degradation signs.","[{""feature"": ""s7_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s4_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s21_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s15_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,204,5.793929720000051,0.0007396000000000001,True
nasa_fd001,u001_e0100,healthy,main_full,0,1,True,healthy,True,"Positive high values in s4_z_last and s7_z_last align with healthy training references. Positive s20_delta_mean supports stable operation. Although s9_z_last is negative, it is consistent with healthy patterns, indicating no clear degradation signs.","[{""feature"": ""s4_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s7_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s20_delta_mean"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s9_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,201,7.320474219999596,0.0007348000000000001,True
nasa_fd001,u001_e0100,healthy,main_full,0,2,True,healthy,True,"Key sensors s4_z_last, s7_z_last, and s21_z_last show strong positive values consistent with healthy references, indicating stable operation. Negative slope in s15_slope is moderate and aligns with normal degradation trends rather than failure, supporting a healthy diagnosis.","[{""feature"": ""s4_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s7_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s21_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s15_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,206,2.854844222999418,0.0007428000000000001,True
nasa_fd001,u001_e0100,healthy,main_full,0,3,True,healthy,True,"Positive high values in s7_z_last, s20_slope, and s4_z_last align with healthy training references; negative s15_slope is moderate and does not indicate degradation. Overall sensor patterns suggest normal operating conditions without signs of degradation.","[{""feature"": ""s7_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s20_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s4_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s15_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,202,2.9307685690000653,0.0007364000000000001,True
nasa_fd001,u001_e0100,healthy,main_full,0,4,True,degraded,True,Significant negative deviations in s2_delta_mean and s9_z_last indicate sensor degradation. Negative slope in s15 and positive increase in s20_delta_mean support worsening health rather than stability.,"[{""feature"": ""s2_delta_mean"", ""direction"": ""negative"", ""importance"": ""high""}, {""feature"": ""s9_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s15_slope"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s20_delta_mean"", ""direction"": ""positive"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1033,190,4.141518815000381,0.0007172000000000001,True
nasa_fd001,u001_e0140,healthy,main_full,0,0,True,degraded,True,"Elevated s2_delta_mean and s13_slope indicate progressive wear, while strongly negative s7_z_last and s9_slope suggest sensor degradation trends consistent with a degraded state.","[{""feature"": ""s2_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s7_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s9_slope"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1034,189,4.340449960999649,0.0007160000000000001,True
nasa_fd001,u001_e0140,healthy,main_full,0,1,True,healthy,True,"Positive values in s2_delta_mean and s13_slope indicate stable or improving conditions, consistent with healthy references. High s8_z_last supports this. Negative s7_z_last is not strongly degrading alone and aligns with healthy patterns.","[{""feature"": ""s2_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s8_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s7_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1034,199,2.85808581099991,0.000732,True
nasa_fd001,u001_e0140,healthy,main_full,0,2,True,healthy,True,"Key sensor s2_z_last is strongly positive indicating normal operation; s8_z_last and s13_delta_mean positive trends support stability. Negative s7_z_last is moderate and typical in healthy references, overall consistent with healthy state.","[{""feature"": ""s2_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s8_z_last"", ""direction"": ""positive"", ""importance"": ""medium""}, {""feature"": ""s7_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1034,198,5.755308411000442,0.0007304,True
