dataset,instance_id,true_label,experiment,repeat,trace_idx,use_memory,diagnosis,parse_success,rationale,evidence_json,grounded_rate,contradiction_rate,unsupported_rate,invalid_feature_claims,verifiable_claims,endpoint,input_tokens,output_tokens,latency_s,cost_usd,success,temporal_version,unit,window_order,window_start,window_end,rul_end
nasa_fd001,u001_e0150,healthy,temporal_stability,0,0,True,degraded,True,"High positive values in s13 features and negative s14_z_last indicate abnormal sensor behavior similar to degraded training references, suggesting the engine is in a degraded health state.","[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1035,185,6.10296900600224,0.00071,True,major_revision_v2_temporal_transition,1,1,101,150,42
nasa_fd001,u001_e0150,healthy,temporal_stability,0,1,True,degraded,True,High positive values in s13 features and negative trends in s12 and s9 sensors indicate degradation patterns consistent with known degraded training references.,"[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s12_delta_mean"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s9_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1035,179,2.995879967998917,0.0007003999999999,True,major_revision_v2_temporal_transition,1,1,101,150,42
nasa_fd001,u001_e0150,healthy,temporal_stability,0,2,True,degraded,True,"Elevated s13 features (delta_mean, z_last, slope) indicate strong abnormal trends linked to degradation. The negative s14_z_last supports this by matching degraded training patterns, confirming a degraded health state.","[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1035,194,3.2579057379989536,0.0007244,True,major_revision_v2_temporal_transition,1,1,101,150,42
nasa_fd001,u001_e0150,healthy,temporal_stability,0,3,True,degraded,True,"High positive values in s13 features align with degraded references, indicating abnormal sensor behavior. Negative s9_z_last supports degradation. These patterns suggest the engine is not healthy.","[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s9_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1035,186,2.684254977000819,0.0007116,True,major_revision_v2_temporal_transition,1,1,101,150,42
nasa_fd001,u001_e0150,healthy,temporal_stability,0,4,True,degraded,True,"Elevated s13 features and negative s14_z_last match degraded patterns in training data, indicating sensor trends consistent with degradation.","[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_z_last"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1035,177,4.365023488000588,0.0006972,True,major_revision_v2_temporal_transition,1,1,101,150,42
nasa_fd001,u001_e0160,healthy,temporal_stability,0,0,True,degraded,True,"Strong positive values in s13_delta_mean and s13_slope indicate deterioration trends. Negative s20_z_last and s14_z_last align with degraded training references, supporting a degraded health state diagnosis.","[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s20_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1036,192,3.096684478001407,0.0007216,True,major_revision_v2_temporal_transition,1,2,111,160,32
nasa_fd001,u001_e0160,healthy,temporal_stability,0,1,True,degraded,True,High positive values in s13_delta_mean and s13_slope indicate sensor degradation trends similar to degraded training references. Negative s20_z_last and s14_z_last further support abnormal conditions consistent with degradation.,"[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s20_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1036,193,4.138308373996551,0.0007232,True,major_revision_v2_temporal_transition,1,2,111,160,32
nasa_fd001,u001_e0160,healthy,temporal_stability,0,2,True,degraded,True,"Elevated s13_delta_mean and s13_slope indicate degradation trends. Negative s14_z_last and s20_z_last align with degraded training references, supporting a degraded health state diagnosis.","[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s20_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1036,190,3.8450249109992,0.0007184,True,major_revision_v2_temporal_transition,1,2,111,160,32
nasa_fd001,u001_e0160,healthy,temporal_stability,0,3,True,degraded,True,Elevated s13_delta_mean and s13_slope indicate progressive degradation similar to training references. Negative s20_z_last and s14_z_last further support degraded health state consistent with known fault patterns.,"[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s20_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1036,192,2.560067480000725,0.0007216,True,major_revision_v2_temporal_transition,1,2,111,160,32
nasa_fd001,u001_e0160,healthy,temporal_stability,0,4,True,degraded,True,Elevated s13 delta_mean and slope indicate degradation trends matching known degraded references. Negative s20_z_last and s14_z_last support abnormal sensor behavior consistent with degradation.,"[{""feature"": ""s13_delta_mean"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s13_slope"", ""direction"": ""positive"", ""importance"": ""high""}, {""feature"": ""s20_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}, {""feature"": ""s14_z_last"", ""direction"": ""negative"", ""importance"": ""medium""}]",1.0,0.0,0.0,0,4,responses,1036,186,3.574547789001372,0.000712,True,major_revision_v2_temporal_transition,1,2,111,160,32
